,Family,Plant,Code,Lat,Long,Site,Location,Plot,Collection,Date_Label,Date,Year,Plant_family,ID_Num,Order,Subfamily,Genus,Species,Gender,Morph,Count,Type,fltyp,flcol,Functional_group,Functional_group2,int1,int,Pl_ID,Pol_ID
1,Adelidae,Alliaria_petiola,GRE4_23.5_11,51.645N,11.439E,Greifenhagen,GRE,4,2017,23.V.2017,5/23/2017,2017,NA,11,Lepidoptera,NA,NA,NA,NA,Adelidae,1,Pin,DiskHN,w,Moth,Lepidoptera,Moth-Alliaria_petiola,Adelidae-Alliaria_petiola,P_ 3,I_  1
2,Adelidae,Brassica_napus,SST2_3.5_08,51.377N,11.720E,Schafstaedt,SST,2,2017,3.V.2017,5/3/2017,2017,NA,8,Lepidoptera,NA,NA,NA,NA,Adelidae,1,Pin,DiskHN,g,Moth,Lepidoptera,Moth-Brassica_napus,Adelidae-Brassica_napus,P_ 6,I_  1
3,Adelidae,Brassica_napus,SIP3_23.5_03,51.636N,11.054E,Siptenfelde,SIP,3,2017,23.V.2017,5/23/2017,2017,NA,3,Lepidoptera,NA,NA,NA,NA,Adelidae,1,Pin,DiskHN,g,Moth,Lepidoptera,Moth-Brassica_napus,Adelidae-Brassica_napus,P_ 6,I_  1
4,Adelidae,Alliaria_petiola,GRE4_23.5_12,51.645N,11.439E,Greifenhagen,GRE,4,2017,23.V.2017,5/23/2017,2017,NA,12,Lepidoptera,NA,NA,NA,NA,Adelidae,31,Pin,DiskHN,w,Moth,Lepidoptera,Moth-Alliaria_petiola,Adelidae-Alliaria_petiola,P_ 3,I_  1
5,Andrenidae,Brassica_napus,GRE3_7.5_08,51.619N,11.439E,Greifenhagen,GRE,3,2017,7.V.2017,5/7/2017,2017,Brassicaceae,8,Hymenoptera,NA,Andrena,flavipes,female,Andrena.flavipes,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.flavipes-Brassica_napus,P_ 6,I_ 11
6,Andrenidae,Taraxacum_officinale,SIP1_23.5_07,51.654N,11.038E,Siptenfelde,SIP,1,2017,23.V.2017,5/23/2017,2017,Asteraceae,7,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.haemorrhoa-Taraxacum_officinale,P_40,I_ 16
7,Andrenidae,Taraxacum_officinale,GRE3_28.4_02,51.619N,11.439E,Greifenhagen,GRE,3,2017,28.IV.2017,4/28/2017,2017,Asteraceae,2,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.haemorrhoa-Taraxacum_officinale,P_40,I_ 16
8,Andrenidae,Taraxacum_officinale,GRE3_20.4_02,51.619N,11.439E,Greifenhagen,GRE,3,2017,20.IV.2017,4/20/2017,2017,Asteraceae,2,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
9,Andrenidae,Taraxacum_officinale,SST1_28.4_s1,51.381N,11.717E,Schafstaedt,SST,1,2017,28.IV.2018,4/28/2017,2017,Asteraceae,s1,Hymenoptera,NA,Andrena,cineraria,NA,Andrena.cineraria,3,Sight,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
10,Andrenidae,Taraxacum_officinale,SST3_28.4_01,51.354N,11.734E,Schafstaedt,SST,3,2017,28.IV.2017,4/28/2017,2017,Asteraceae,1,Hymenoptera,NA,Andrena,cineraria,male,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
11,Andrenidae,Brassica_napus,WAN2_10.5_s11,52.092N,11.427E,Wanzleben,WAN,2,2017,10.V.2020,5/10/2017,2017,Brassicaceae,s11,Hymenoptera,NA,Andrena,cineraria,NA,Andrena.cineraria,1,Sight,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.cineraria-Brassica_napus,P_ 6,I_  9
12,Andrenidae,Taraxacum_officinale,WAN3_10.5_s9,52.083N,11.418E,Wanzleben,WAN,3,2017,10.V.2018,5/10/2017,2017,Asteraceae,s9,Hymenoptera,NA,Andrena,nitida,NA,Andrena.nitida,1,Sight,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.nitida-Taraxacum_officinale,P_40,I_ 22
13,Andrenidae,Lepidium_campestre,WAN1_26.4_14,52.094N,11.417E,Wanzleben,WAN,1,2017,26.IV.2017,4/26/2017,2017,Brassicaceae,14,Hymenoptera,NA,Andrena,nigroaenea,male,Andrena.nigroaenea,1,Pin,DiskHN,w,Andrenidae,WildBee,Andrenidae-Lepidium_campestre,Andrena.nigroaenea-Lepidium_campestre,P_23,I_ 21
